,Mean_traj (Holonomic model Bi-level by PDFO),RMSE_plan_unity [m],RMSE_angular_unity [rad],RMSE_angular_unity [degree]
0,E-0640.dat,0.45888234400543476,0.40004199522870215,22.92071795459725
1,E0640.dat,0.12010245733016163,0.205862777336567,11.795068300226703
2,E1540.dat,0.2683933889276422,0.1999586373422869,11.45678599690006
3,E4000.dat,0.11354702522313422,1.302506059881642,74.62810002143216
4,E4015.dat,0.25158075440258704,0.6462236191809062,37.02588600073528
5,E4040.dat,0.6905729046155493,1.0429854025189746,59.75866165809059
6,N-0640.dat,0.2903741121337442,0.4873632381095011,27.923856633503817
7,N0640.dat,0.35192450681893,1.2690914618728466,72.71358458140195
8,N1540.dat,0.3085829253139273,0.897147780344596,51.40278141327518
9,N4015.dat,0.23923754487416926,1.828441136668495,104.76196021920771
10,N4040.dat,0.46399389577589734,0.9744523558479676,55.83200732666879
11,O-0640.dat,0.28396686041290997,0.77216743721541,44.24193522987597
12,O0640.dat,0.10637374596061756,0.4671979743763288,26.768472128824822
13,O1540.dat,0.11488837237025946,0.4355861362800368,24.957247223256417
14,O4000.dat,0.5238501218770817,1.4583964203817794,83.55995974486295
15,O4015.dat,0.223048509839906,0.8018848922933007,45.944619983708726
16,O4040.dat,0.11576893644809327,0.5187679718629503,29.723215334308495
17,S-0640.dat,0.42916055496036215,0.22893219965929354,13.116848835123823
18,S0640.dat,0.20322641436316483,0.5819165934823869,33.3413648351708
19,S1540.dat,0.07821977190881518,0.33396643275549753,19.13486709592962
20,S4000.dat,0.2011314328686333,1.2378490588079891,70.92352674393902
21,S4015.dat,0.16382074494696935,0.5075414774238572,29.079984584221375
22,S4040.dat,0.16106206269277568,0.6625321826996163,37.960297860278395
