,Mean_traj (Non_holonomic model Bi-level by PDFO),RMSE_plan_unity [m],RMSE_angular_unity [rad],RMSE_angular_unity [degree]
0,E-0640.dat,0.08358726889278645,0.06928938515844288,3.9699893346351818
1,E0640.dat,0.09611553989231061,0.07053290785994974,4.041237937160232
2,E1540.dat,0.12578484566650053,0.09306426789592848,5.332189773911543
3,E4000.dat,0.2741646792780792,1.3988907999995595,80.1505388396541
4,E4015.dat,0.11981442318007761,0.2540373757707108,14.555269470240686
5,E4040.dat,0.224154505431638,0.3442709683670679,19.72527349631486
6,N-0640.dat,0.07763449304618512,0.27894200795600554,15.982199784783749
7,N0640.dat,0.42195577012005187,0.7731016641644805,44.29546249116509
8,N1540.dat,0.13873239387002875,0.26065476814985894,14.93441812494791
9,N4015.dat,0.7319031121262216,2.0657449559409837,118.35846752585657
10,N4040.dat,0.298165614646285,0.36744464373436586,21.053027290667313
11,O-0640.dat,0.11956822811526241,0.27579600881425453,15.801947311609636
12,O0640.dat,0.14193502899962526,0.2822004704585333,16.168895933880226
13,O1540.dat,0.19111664003305867,0.3549171174684703,20.335252907892215
14,O4000.dat,0.4598789117219507,1.4859600509433644,85.13923944409959
15,O4015.dat,0.12146813186189344,0.636656291390501,36.47771849712684
16,O4040.dat,0.21160197497586855,0.4547741417955096,26.056638956566754
17,S-0640.dat,0.15932515100840375,0.20482979206670185,11.735882603964248
18,S0640.dat,0.12843846347517562,0.4461754804623798,25.563971952716084
19,S1540.dat,0.1447277297009344,0.33347321466147034,19.106607780762378
20,S4000.dat,0.1988490478922757,1.1771562356355545,67.4460841294247
21,S4015.dat,0.14410034529182011,0.17794189599416055,10.19531963902125
22,S4040.dat,0.16608960510873855,0.5206574441136306,29.83147411977956
